Departamento,Localidad,Nivel Jurisdiccional,Nombre de Institución,CUE-Anexo,Inicial,Primario,Secundario,Superior
BELLA VISTA,BELLA VISTA,Consejo General de Educacion,CENTRO DE TERMINALIDAD Nº 38,1801705-38,NO,SI,SI,NO
BELLA VISTA,BELLA VISTA,Consejo General de Educacion,"ESCUELA ESPECIAL Nº 22 ""DON PEDRO MERELLO""",1800750-00,NO,SI,NO,NO
BELLA VISTA,BELLA VISTA,Consejo General de Educacion,ESCUELA JARDIN DE INFANTES Nº 26,1800746-00,SI,NO,NO,NO
BELLA VISTA,BELLA VISTA,Consejo General de Educacion,"ESCUELA JARDIN DE INFANTES Nº 8 ""LIDIA SAND DE MARCHISSIO""",1800751-00,SI,NO,NO,NO
BELLA VISTA,BELLA VISTA,Consejo General de Educacion,"ESCUELA Nº 16 ""PEDRO FERRE""",1800673-00,NO,SI,NO,NO
BELLA VISTA,BELLA VISTA,Consejo General de Educacion,"ESCUELA Nº 17 ""JOSE FERMIN GONZALEZ""",1801086-00,NO,SI,NO,NO
BELLA VISTA,BELLA VISTA,Consejo General de Educacion,"ESCUELA Nº 18 ""CORONEL DANIEL LEANDRO ARTAZA""",1800631-00,NO,SI,NO,NO
BELLA VISTA,BELLA VISTA,Consejo General de Educacion,"ESCUELA Nº 25 ""DON RAFAEL MONTIEL""",1800014-00,SI,SI,NO,NO
BELLA VISTA,BELLA VISTA,Consejo General de Educacion,"ESCUELA Nº 344 ""PREFECTURA NAVAL ARGENTINA""",1800611-00,NO,SI,NO,NO
BELLA VISTA,BELLA VISTA,Consejo General de Educacion,"ESCUELA Nº 451 ""GRAL JOSE MARIA PAZ""",1800612-00,NO,SI,NO,NO
BELLA VISTA,BELLA VISTA,Consejo General de Educacion,"ESCUELA Nº 665 ""PROVINCIA DE CHUBUT""",1800797-00,NO,SI,NO,NO
BELLA VISTA,BELLA VISTA,Consejo General de Educacion,"ESCUELA Nº 707 ""PEDRO RIOS-TAMBORCITO DE TACUARI""",1800744-00,NO,SI,NO,NO
BELLA VISTA,BELLA VISTA,Consejo General de Educacion,ESCUELA Nº 984,1801876-00,NO,SI,NO,NO
BELLA VISTA,BELLA VISTA,Consejo General de Educacion,"ESCUELA PRIMARIA PARA ADOLESCENTES Y ADULTOS Nº 26 ""MANUEL BELGRANO""",1800749-00,NO,SI,NO,NO
BELLA VISTA,BELLA VISTA,Consejo General de Educacion,J.I.N. Nº 32 - ESCUELA Nº 17,1801594-01,SI,NO,NO,NO
BELLA VISTA,BELLA VISTA,Consejo General de Educacion,J.I.N. Nº 32 - ESCUELA Nº 18,1801594-02,SI,NO,NO,NO
BELLA VISTA,BELLA VISTA,Consejo General de Educacion,J.I.N. Nº 32 - ESCUELA Nº 665,1801594-03,SI,NO,NO,NO
BELLA VISTA,BELLA VISTA,Consejo General de Educacion,J.I.N. Nº 32 - ESCUELA Nº 984,1801594-04,SI,NO,NO,NO
BELLA VISTA,BELLA VISTA,Consejo General de Educacion,J.I.N. Nº 32 (SEDE),1801594-00,SI,NO,NO,NO
BELLA VISTA,BELLA VISTA,Direccion de Educación Tecnico Profesional,"ESCUELA AGROTECNICA ""MANUEL BELGRANO""     ",1800674-00,NO,NO,SI,NO
BELLA VISTA,BELLA VISTA,Direccion de Educación Tecnico Profesional,"ESCUELA TECNICA ""DR JUAN E MARTINEZ""",1801157-00,NO,NO,SI,NO
BELLA VISTA,BELLA VISTA,Direccion de Enseñanza Privada,"COLEGIO ""NUESTRA SEÑORA DE ITATI"" IP-7",1800662-00,SI,SI,NO,NO
BELLA VISTA,BELLA VISTA,Direccion de Enseñanza Privada,"ESCUELA ""FE Y ALEGRIA""  IPP.51-IP.58",1801455-00,SI,SI,NO,NO
BELLA VISTA,BELLA VISTA,Direccion de Enseñanza Privada,IMAGINE ENGLISH STUDIES I.Prof-66,1801808-00,NO,NO,NO,NO
BELLA VISTA,BELLA VISTA,Direccion de Enseñanza Privada,"INSTITUTO ADVENTISTA ""FRANCISCO RAMOS MEJIA"" IP.23/IS-70",1801156-00,SI,SI,SI,NO
BELLA VISTA,BELLA VISTA,Direccion de Enseñanza Privada,INSTITUTO NUESTRA SEÑORA DEL CARMEN I 22,1801087-00,NO,NO,SI,NO
BELLA VISTA,BELLA VISTA,Direccion de Enseñanza Privada,"INSTITUTO SUPERIOR ""SANTA RITA"" IT.37 - IS.40",1801516-00,NO,NO,SI,SI
BELLA VISTA,BELLA VISTA,Direccion de Nivel Secundario,"COLEGIO SECUNDARIO ""DR JOSE LUIS SERSIC""",1801499-00,NO,NO,SI,NO
BELLA VISTA,BELLA VISTA,Direccion de Nivel Secundario,COLEGIO SECUNDARIO DEL BARRIO NORTE,1801868-00,NO,NO,SI,NO
BELLA VISTA,BELLA VISTA,Direccion de Nivel Secundario,ESCUELA NORMAL DE BELLA VISTA,1800672-00,SI,SI,SI,NO
BELLA VISTA,BELLA VISTA,Direccion de Nivel Superior,"INSTITUTO DE FORMACIÓN DOCENTE EN ""BELLA VISTA""",1801419-00,NO,NO,NO,SI
BELLA VISTA,CARRIZAL NORTE,Consejo General de Educacion,ESCUELA Nº 26,1800855-00,NO,SI,NO,NO
BELLA VISTA,CARRIZAL NORTE,Consejo General de Educacion,J.I.N. Nº 55 - ESCUELA Nº 26,1801726-08,SI,NO,NO,NO
BELLA VISTA,COLONIA 3 DE ABRIL,Consejo General de Educacion,"ESCUELA Nº 436 ""PADRE JORGE KLOSTER""",1800006-00,NO,SI,NO,NO
BELLA VISTA,COLONIA 3 DE ABRIL,Consejo General de Educacion,"ESCUELA Nº 450 ""OSCAR RUPERTO ALDERETE""",1800005-00,NO,SI,NO,NO
BELLA VISTA,COLONIA 3 DE ABRIL,Consejo General de Educacion,ESCUELA Nº 692,1800004-00,NO,SI,NO,NO
BELLA VISTA,COLONIA 3 DE ABRIL,Consejo General de Educacion,ESCUELA Nº 706,1800003-00,NO,SI,NO,NO
BELLA VISTA,COLONIA 3 DE ABRIL,Consejo General de Educacion,ESCUELA Nº 790,1800002-00,NO,SI,NO,NO
BELLA VISTA,COLONIA 3 DE ABRIL,Consejo General de Educacion,J.I.N. Nº 55 - ESCUELA Nº 436,1801726-04,SI,NO,NO,NO
BELLA VISTA,COLONIA 3 DE ABRIL,Consejo General de Educacion,J.I.N. Nº 55 - ESCUELA Nº 450,1801726-07,SI,NO,NO,NO
BELLA VISTA,COLONIA 3 DE ABRIL,Consejo General de Educacion,J.I.N. Nº 55 - ESCUELA Nº 692,1801726-06,SI,NO,NO,NO
BELLA VISTA,COLONIA 3 DE ABRIL,Consejo General de Educacion,J.I.N. Nº 55 - ESCUELA Nº 790,1801726-01,SI,NO,NO,NO
BELLA VISTA,COLONIA 3 DE ABRIL,Consejo General de Educacion,J.I.N. Nº 55 (SEDE) - ESCUELA Nº 706,1801726-00,SI,NO,NO,NO
BELLA VISTA,COLONIA 3 DE ABRIL,Direccion de Educación Tecnico Profesional,ESCUELA AGROTECNICA de COLONIA 3 DE ABRIL,1801448-00,NO,NO,SI,NO
BELLA VISTA,COLONIA PROGRESO,Consejo General de Educacion,"ESCUELA Nº 22 ""INDEPENDENCIA""",1801088-00,NO,SI,NO,NO
BELLA VISTA,COLONIA PROGRESO,Consejo General de Educacion,"ESCUELA Nº 452 ""PROVINCIA DE CORRIENTES""",1800012-00,NO,SI,NO,NO
BELLA VISTA,COLONIA PROGRESO,Consejo General de Educacion,ESCUELA Nº 529,1800814-00,SI,SI,NO,NO
BELLA VISTA,COLONIA PROGRESO,Consejo General de Educacion,J.I.N. Nº 67 - ESCUELA Nº 452,1801749-02,SI,NO,NO,NO
BELLA VISTA,COLONIA PROGRESO,Consejo General de Educacion,J.I.N. Nº 67 (SEDE) - ESCUELA Nº 22,1801749-00,SI,NO,NO,NO
BELLA VISTA,COLONIA PROGRESO,Direccion de Nivel Secundario,"COLEGIO SECUNDARIO DE COLONIA ""EL PROGRESO""",1801653-00,NO,NO,SI,NO
BELLA VISTA,COLONIA PROGRESO,Direccion de Nivel Secundario,"EXTENSION AULICA QUE FUNCIONA EN LA ESC.Nº 846 (COLEGIO SEC. ""JOSE LUIS SERSIC"")",1801499-02,NO,NO,SI,NO
BELLA VISTA,DESMOCHADO,Consejo General de Educacion,"ESCUELA Nº 224 ""MARIA ALEGRE DE BEHR""",1800013-00,NO,SI,NO,NO
BELLA VISTA,DESMOCHADO,Consejo General de Educacion,"ESCUELA Nº 734 ""ABIGAIL PINTOS LOPEZ""",1800011-00,NO,SI,NO,NO
BELLA VISTA,DESMOCHADO,Consejo General de Educacion,J.I.N. Nº 67 - ESCUELA Nº 224,1801749-06,SI,NO,NO,NO
BELLA VISTA,DESMOCHADO,Consejo General de Educacion,J.I.N. Nº 67 - ESCUELA Nº 734,1801749-07,SI,NO,NO,NO
BELLA VISTA,DESMOCHADO,Direccion de Nivel Secundario,"COLEGIO SECUNDARIO DE COLONIA ""EL PROGRESO"" (EXTENSION AULICA QUE FUNCIONA EN LA ESCUELA Nº 224)",1801653-01,NO,NO,SI,NO
BELLA VISTA,ISLA ALTA,Consejo General de Educacion,ESCUELA Nº 922,1800119-00,NO,SI,NO,NO
BELLA VISTA,ISLA ALTA,Consejo General de Educacion,J.I.N. Nº 67 - ESCUELA Nº 922,1801749-01,SI,NO,NO,NO
BELLA VISTA,LAS GARZAS,Consejo General de Educacion,"ESCUELA PRIMARIA Nº 854 ""DON JUAN BRIEND""",1801090-00,SI,SI,NO,NO
BELLA VISTA,LOMAS ESTE,Consejo General de Educacion,"ESCUELA Nº 412 ""SOLDADO DE MALVINAS SEGUNDINO ANTONIO RIQUELME""",1800854-00,NO,SI,NO,NO
BELLA VISTA,LOMAS ESTE,Consejo General de Educacion,J.I.N. Nº 55 - ESCUELA Nº 412,1801726-05,SI,NO,NO,NO
BELLA VISTA,LOMAS NORTE,Consejo General de Educacion,"ESCUELA Nº 19 ""VICTORIA CUEVAS CORREA""",1800008-00,SI,SI,NO,NO
BELLA VISTA,LOMAS NORTE,Consejo General de Educacion,ESCUELA Nº 20,1800007-00,NO,SI,NO,NO
BELLA VISTA,LOMAS NORTE,Consejo General de Educacion,"ESCUELA Nº 779 ""BOMBEROS VOLUNTARIOS""",1800154-00,NO,SI,NO,NO
BELLA VISTA,LOMAS NORTE,Consejo General de Educacion,J.I.N. Nº 55 - ESCUELA Nº 20,1801726-02,SI,NO,NO,NO
BELLA VISTA,LOMAS NORTE,Consejo General de Educacion,J.I.N. Nº 55 - ESCUELA Nº 779,1801726-03,SI,NO,NO,NO
BELLA VISTA,LOMAS SUR,Consejo General de Educacion,"ESCUELA Nº 21 ""FRANCISCO MARIA MORELLO""",1800748-00,NO,SI,NO,NO
BELLA VISTA,LOMAS SUR,Consejo General de Educacion,ESCUELA Nº 732,1800747-00,NO,SI,NO,NO
BELLA VISTA,LOMAS SUR,Consejo General de Educacion,J.I.N. Nº 67 - ESCUELA Nº 21,1801749-03,SI,NO,NO,NO
BELLA VISTA,LOMAS SUR,Consejo General de Educacion,J.I.N. Nº 67 - ESCUELA Nº 707,1801749-04,SI,NO,NO,NO
BELLA VISTA,LOMAS SUR,Consejo General de Educacion,J.I.N. Nº 67 - ESCUELA Nº 732,1801749-08,SI,NO,NO,NO
BELLA VISTA,MUCHAS ISLAS,Consejo General de Educacion,"ESCUELA Nº 793 ""NICASIO OJEDA""",1800001-00,SI,SI,NO,NO
BELLA VISTA,PARAJE JUAN DIAZ,Consejo General de Educacion,ESCUELA Nº 23,1800016-00,NO,SI,NO,NO
BELLA VISTA,PARAJE JUAN DIAZ,Consejo General de Educacion,J.I.N. Nº 67 - ESCUELA Nº 23,1801749-05,SI,NO,NO,NO
BELLA VISTA,PARAJE RAICES NORTE,Consejo General de Educacion,ESCUELA Nº 814,1801091-00,SI,SI,NO,NO
BELLA VISTA,PARAJE RAICES NORTE,Consejo General de Educacion,"ESCUELA Nº 891 ""SANTOS VICTOR GARCIA""",1801089-00,SI,SI,NO,NO
BELLA VISTA,PARAJE RAICES NORTE,Direccion de Nivel Secundario,COLEGIO SECUNDARIO EN RAICES NORTE,1801908-00,NO,NO,SI,NO
BERON DE ASTRADA,BERON DE ASTRADA,Consejo General de Educacion,"ESCUELA Nº 27 ""PAGO LARGO""",1800683-00,SI,SI,NO,NO
BERON DE ASTRADA,BERON DE ASTRADA,Direccion de Nivel Secundario,"COLEGIO SECUNDARIO ""GENARO BERON DE ASTRADA""     ",1800684-00,NO,NO,SI,NO
BERON DE ASTRADA,BERON DE ASTRADA,Direccion de Nivel Secundario,"EXT.AULICA DE ADULTOS (COLEGIO SECUNDARIO ""GENARO BERON DE ASTRADA"")",1800684-01,NO,NO,SI,NO
